City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bei'an,24.5399,109.533,24.9,82,98,1.84,CN,1699505222
83,santiago de cao,-7.9589,-79.2392,19.07,88,100,4.63,PE,1699505222
84,qaqortoq,60.7167,-46.0333,0.27,95,100,1.86,GL,1699505222
85,invercargill,-46.4,168.35,11.68,65,43,5.36,NZ,1699505222
86,tolanaro,-25.0319,46.9987,24.04,88,40,6.17,MG,1699505223
87,gurupa,-1.405,-51.64,24.91,78,38,2.16,BR,1699505223
88,veinticinco de mayo,-35.4323,-60.1727,11.66,75,20,0.89,AR,1699505224
89,al kharj,24.155,47.3346,19.32,33,0,0.72,SA,1699505224
90,porto cristo,39.5395,3.333,15.18,68,53,7.73,ES,1699505224
91,avarua,-21.2078,-159.775,24.03,78,20,6.17,CK,1699505224
92,olonkinbyen,70.9221,-8.7187,-0.7,74,71,3.52,SJ,1699505225
93,cole harbour,44.6724,-63.4751,1.71,73,77,9.77,CA,1699505225
94,sao vicente,-23.9631,-46.3919,29.1,26,94,0.45,BR,1699505225
95,nurdagi,37.1773,36.7419,9.99,62,93,1.05,TR,1699505226
96,eastham,41.8301,-69.9739,6.64,67,0,1.34,US,1699505226
97,kapa'a,22.0752,-159.319,26.18,82,100,5.66,US,1699505226
98,nioki,-2.7167,17.6833,22.55,94,100,1.39,CD,1699505226
99,kyaiklat,16.4333,95.7333,30.59,60,56,1.57,MM,1699505227
100,sarupathar,26.1984,93.8094,27.12,64,1,1.48,IN,1699505227
101,constantia,44.1833,28.65,7.61,69,72,7.81,RO,1699505228
102,lazdynai,54.9422,22.4897,7.3,88,96,4.03,RU,1699505228
103,papatowai,-46.5619,169.4708,9.95,62,24,4.54,NZ,1699505228
104,yarmouth,41.7057,-70.2286,6.65,67,0,6.26,US,1699505014
105,isafjordur,66.0755,-23.124,3.66,80,91,7.97,IS,1699505229
106,punta arenas,-53.15,-70.9167,5.06,60,20,6.17,CL,1699505229
107,alofi,-19.0595,-169.9187,27.94,74,86,4.63,NU,1699505229
108,dudinka,69.4058,86.1778,-5.21,90,100,12.5,RU,1699505230
109,urmary,55.6789,47.944,3.48,95,74,2.16,RU,1699505230
110,kingston,17.997,-76.7936,28.53,79,20,3.09,JM,1699505009
111,tinajo,29.0788,-13.7081,19.49,68,40,7.2,ES,1699505230
112,shatura,55.5725,39.5368,4.94,93,100,1.18,RU,1699505230
113,waitangi,-43.9535,-176.5597,11.01,83,56,1.34,NZ,1699505231
114,anadyr,64.75,177.4833,-4.72,85,40,8.0,RU,1699505231
115,lautoka,-17.6167,177.4667,26.92,78,75,3.09,FJ,1699505231
116,colares,38.7992,-9.4469,15.98,85,100,9.83,PT,1699505231
117,ilulissat,69.2167,-51.1,-2.99,100,100,2.06,GL,1699505232
118,banda aceh,5.5577,95.3222,28.78,73,98,3.26,ID,1699504961
119,vallenar,-28.5708,-70.7581,18.63,57,62,1.66,CL,1699505232
120,calca,-13.3333,-71.95,11.64,80,97,1.22,PE,1699505232
121,khandyga,62.6667,135.6,-25.27,95,50,0.07,RU,1699505233
122,kailua-kona,19.6406,-155.9956,26.98,86,40,3.09,US,1699505233
123,roxas,11.5853,122.7511,29.52,71,43,4.86,PH,1699505233
124,saint-joseph,-21.3667,55.6167,28.04,72,9,1.89,RE,1699505233
125,madang,-5.2246,145.7966,29.75,66,78,3.63,PG,1699505234
126,port douglas,-16.4833,145.4667,26.25,70,27,4.13,AU,1699505234
127,cardigan,52.0847,-4.6591,10.96,82,96,7.42,GB,1699505234
128,abepura,-2.6333,140.5833,31.45,55,40,10.29,ID,1699505234
129,toliara,-23.35,43.6667,25.72,76,100,2.97,MG,1699505235
130,al fuwayliq,26.4432,43.2534,20.78,42,0,2.25,SA,1699505235
131,jalal-abad,40.9333,73.0,11.8,85,100,2.11,KG,1699505235
